Driver Name,Fantasy Points,Qualifying Position,Sprint Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,65,1,2,1,0,1
Max Verstappen,18,2,1,DNF,0,0
Valtteri Bottas,41,3,3,3,0,0
Sergio Perez,22,5,20,16,1,1
Daniel Ricciardo,27,7,6,5,0,0
Charles Leclerc,48,4,4,2,0,1
Sebastian Vettel,-1,10,8,DNF,0,0
Fernando Alonso,35,11,7,7,0,1
Carlos Sainz,21,9,11,6,0,0
Lance Stroll,22,15,14,8,0,1
Lando Norris,53,6,5,4,0,1
Piere Gasly,8,12,12,11,0,0
Esteban Ocon,10,13,10,9,0,0
Kimi Raikkonen,7,17,13,15,0,0
Yuki Tsunoda,17,16,16,10,0,1
Antonio Giovinazzi,12,14,15,13,0,1
Nicholas Latifi,10,18,17,14,0,0
George Russell,16,8,9,12,0,1
Mick Schumacher,8,19,18,17,0,1
Nikita Mazepin,11,20,19,18,0,0
