Constructor Name,Bahrain GP,Imola GP,Portugal GP,Spain GP,Monaco GP,Azerbaijan GP,French GP,Styrian GP,Austrian GP,British GP,Hungarian GP,Belgian GP,Dutch GP,Italian GP,Russian GP,Turkish GP,USA GP,Mexican GP
Mercedes,38,37.8,37.7,37.6,37.6,37.5,37.3,37.3,37.2,37.2,37.1,37.1,37.1,37.1,37.1,37.2,37.2,37.1
Red Bull,25.9,26,26.1,26.1,26.1,26,26.1,26.3,26.5,26.6,26.7,26.6,26.6,26.6,26.6,26.3,26.3,26.4
McLaren,18.9,18.7,18.7,18.8,18.9,18.7,18.6,18.6,18.6,18.6,18.6,18.7,18.7,18.6,18.6,18.8,18.8,18.9
Ferrari,18.1,18.7,18.8,19,18.7,19.6,19.6,19.1,18.7,18.7,18.7,18.8,18.8,18.8,18.8,18.8,18.8,18.8
Aston Martin,17.6,16.9,16.7,16.6,16.5,16.4,16.4,16.4,16.4,16.4,16.4,16.5,16.5,16.5,16.5,16.4,16.4,16.4
Alpine,15.4,15.1,15,15.1,15.3,15.2,15.1,15.3,15.2,15.1,15.1,15.1,15.1,15.2,15.2,15.2,15.2,15.1
AlphaTauri,12.7,13.2,13.2,13,12.8,12.6,12.6,12.6,12.7,12.7,12.7,12.7,12.7,12.6,12.6,12.6,12.6,12.6
Alfa Romeo,8.9,8.9,8.9,8.9,8.9,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.1,9.1,9.1,9.1,9.1,9.1
Williams,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Haas,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
